amfi_code,sharpe_ratio
100016,-0.27196012113715706
100025,-0.5636899112317463
100033,1.1843591118698746
101206,1.1069673098448294
101207,0.04458442223255968
101208,-0.4464586816172133
102885,0.8600715662497679
102886,-0.2960946980671833
102887,0.6158950755351092
118632,1.1744178338621247
118633,0.6545156567184497
118634,0.3667238322389898
118635,0.6822004088012275
118636,-0.3447830825954494
119092,-0.025941468243930933
119093,0.0794163256393947
119094,1.06159366401087
119095,-0.20075371214402118
119120,-0.2073920050652274
119551,1.3314911422389426
119552,1.0184672749439492
119598,0.979554225874494
119599,-0.18109037554061264
120503,0.8333661730515963
120504,1.1065013078923416
120505,1.2965892692566352
120506,0.6525988140603285
120507,0.9621978200760797
120841,0.4848808663558549
120842,-0.002277193647775677
120843,1.458907845106572
120844,0.32146537866758584
125497,0.8040011661011207
125498,0.23892861969172155
148567,1.637441272793126
148568,0.9817768220698294
148569,1.3677493476552902
149322,0.44551522954529627
149323,1.2346087993759245
149324,0.986164081770675
